video_id,channelTitle,title,description,tags,publishedAt,thumbnail,channelId,viewCount,likeCount,commentCount,favoriteCount,duration,definition,caption
lSPbm3v8raM,Bosch Automotive NA,Bosch Universal QUICK FIT TPMS Sensors and TPA 300 Unboxing,Bosch Universal QUICK FIT TPMS sensors measure the air pressure directly on the vehicle’s tires and reliably transmit it by radio to the control unit in real time. Thanks to the universal programmability of the QUICK FIT sensors a vehicle coverage of over 90% is achieved with just two part numbers. The Bosch TPA-300 programming tool was developed for a simple and safe vehicle-specific configuration of TPMS sensors.,"('Bosch QUICK FIT TPMS', 'TPMS', 'TPMS Sensors', 'TPA300', 'Tire Pressure Monitor Sensors', 'Bosch TPMS Sensors', 'Tire Pressure Monitoring System', 'Universally Programmable', 'Universal', 'Programmable', 'QUICK FIT', 'Tire Pressure', 'TPMS System', 'TPMS Valve Stem', 'Bosch TPMS', 'TPMS Tool', 'Tire', 'Bosch Automotive Aftermarket', 'Bosch North America')",2023-03-29,https://i.ytimg.com/vi/lSPbm3v8raM/default.jpg,UC0J5c2QhaVVzeWAkpGPbftw,248,5,3,0,PT1M48S,hd,false
1McDeGFuqWo,Bosch Automotive NA,eXtra Rewards: The Easy Choice for Automotive Businesses!,Join shop owner Bob S. as he shares how easy it is to use eXtra Rewards.,"('Bosch', 'Bosch Auto Parts', 'quality')",2023-03-06,https://i.ytimg.com/vi/1McDeGFuqWo/default.jpg,UC0J5c2QhaVVzeWAkpGPbftw,136,0,0,0,PT1M,hd,false
hsoPSPFYdqs,Bosch Automotive NA,Replacing Bosch Premium Oxygen Sensors,"In 1976, Bosch invented the oxygen sensor, and it has since become a","('Bosch', 'Bosch Auto Parts', 'Original equipment aftermarket parts', 'High Quality Gasoline Aftermarket Parts', 'High Quality Oxygen Sensors', 'OE Quality Aftermarket Oxygen Sensors', 'Aftermarket Gasoline Parts', 'Automotive Aftermarket Parts', 'Automotive Aftermarket', 'Bosch North America', 'Bosch Automotive Aftermarket', 'Bosch Oxygen Sensors', 'Oxygen Sensors', 'Gasoline Systems', 'Diesel Systems', 'OE Automotive Parts', 'Automotive', 'Automotive Service', 'Automotive Technician', 'Engine Management Parts')",2023-03-06,https://i.ytimg.com/vi/hsoPSPFYdqs/default.jpg,UC0J5c2QhaVVzeWAkpGPbftw,360,0,0,0,PT3M5S,hd,false
jlutLTkq6nE,Bosch Automotive NA,Bosch OE Quality Ignition Coils,"Bosch offers a broad range of ignition coils built to exceed OE specifications and recognized industry-wide for high performance.

Explore the “Bosch OE Difference” – delivering aftermarket parts that provide the Form, Fit and Function of the original parts. Providing the optimal performance, reliability & durability you and your customers expect from an OEM-trusted aftermarket partner.","('Bosch', 'Bosch Auto Parts', 'Automobile', 'auto parts', 'DIY', 'Original Equipment Aftermarket Parts', 'High Quality Gasoline Aftermarket Parts', 'High Quality Ignition Coils', 'High Quality Ignition Components', 'OE Quality Aftermarket Ignition Coils', 'Aftermarket Gasoline Parts', 'Aftermarket Automotive Parts', 'Aftermarket Ignition Parts', 'Automotive Aftermarket', 'Ignition Coil', 'Ignition Components', 'Engine Management', 'Gasoline Systems', 'Gasoline Parts', 'Aftermarket Ignition Coils', 'Bosch Ignition Coil')",2023-03-06,https://i.ytimg.com/vi/jlutLTkq6nE/default.jpg,UC0J5c2QhaVVzeWAkpGPbftw,240,0,0,0,PT4M31S,hd,false
_it2hxBIS7E,Bosch Automotive NA,Denso Lock arm installation for Bosch Clear Advantage wiper blades.,GWB081 DETL1 Montage (Mexico),"('Bosch', 'Bosch Auto Parts', 'Automobile', 'auto parts', 'cars', 'car', 'DIY', 'windshield wiper', 'wipers', 'quality', 'visibility', 'easy installation', 'windshield wipers', 'wiper blade', 'blades')",2023-02-28,https://i.ytimg.com/vi/_it2hxBIS7E/default.jpg,UC0J5c2QhaVVzeWAkpGPbftw,137,0,0,0,PT53S,hd,false
DszEw4e_GnA,Bosch Automotive NA,Small Pin arm installation for Bosch Clear Advantage wiper blades.,GWB081 PIN4 8 Montage,"('Bosch', 'Bosch Auto Parts', 'Automobile', 'auto parts', 'cars', 'car', 'DIY', 'windshield wiper', 'wipers', 'quality', 'visibility', 'easy installation', 'windshield wipers', 'wiper blade', 'blades')",2023-02-28,https://i.ytimg.com/vi/DszEw4e_GnA/default.jpg,UC0J5c2QhaVVzeWAkpGPbftw,278,1,0,0,PT54S,hd,false
b0GCxPo0oNc,Bosch Automotive NA,Side Lock arm installation for Clear Advantage wiper blades.,GWB081 RBSL1 1 Montage,"('Bosch', 'Bosch Auto Parts', 'Automobile', 'auto parts', 'cars', 'car', 'DIY', 'windshield wiper', 'wipers', 'quality', 'visibility', 'easy installation', 'windshield wipers', 'wiper blade', 'blades')",2023-02-28,https://i.ytimg.com/vi/b0GCxPo0oNc/default.jpg,UC0J5c2QhaVVzeWAkpGPbftw,94,1,0,0,PT30S,hd,false
LFn4iWH7bss,Bosch Automotive NA,Top Lock Large arm installation for Clear Advantage wiper blades.,GWB081 RBTL2 0 Montage,"('Bosch', 'Bosch Auto Parts', 'Automobile', 'auto parts', 'cars', 'car', 'DIY', 'windshield wiper', 'wipers', 'quality', 'visibility', 'easy installation', 'windshield wipers', 'wiper blade', 'blades')",2023-02-28,https://i.ytimg.com/vi/LFn4iWH7bss/default.jpg,UC0J5c2QhaVVzeWAkpGPbftw,208,0,0,0,PT55S,hd,false
B0GiWCbHxZw,Bosch Automotive NA,Top Lock Narrow arm installation for Bosch Clear Advantage wiper blades. Montage,GWB081 RBTL2 1,"('Bosch', 'Bosch Auto Parts', 'Automobile', 'auto parts', 'cars', 'car', 'DIY', 'windshield wiper', 'wipers', 'quality', 'visibility', 'easy installation', 'windshield wipers', 'wiper blade', 'blades')",2023-02-28,https://i.ytimg.com/vi/B0GiWCbHxZw/default.jpg,UC0J5c2QhaVVzeWAkpGPbftw,167,1,0,0,PT55S,hd,false
SgrVWyajsDg,Bosch Automotive NA,Hook arm installation for Bosch Clear Advantage wiper blades.,GWB081 U Hook Montage,"('Bosch', 'Bosch Auto Parts', 'Automobile', 'auto parts', 'cars', 'car', 'DIY', 'windshield wiper', 'wipers', 'quality', 'visibility', 'easy installation', 'windshield wipers', 'wiper blade', 'blades')",2023-02-28,https://i.ytimg.com/vi/SgrVWyajsDg/default.jpg,UC0J5c2QhaVVzeWAkpGPbftw,1186,12,2,0,PT48S,hd,false
